Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Unnamed,HU,1500,2227,91.219.237.154,sa1045.azar-a.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2016-11-04,SERVERASTRA-AS- HU,56322,1650,None
Unnamed,DE,709,7,89.163.216.165,vps1441926.vs.webtropia-customer.com,443,None,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-09-12,MYLOC-AS- DE,24961,2660,None
Unnamed,US,23,320,165.227.31.148,165.227.31.148,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-11-20,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,67,None
Unnamed,CZ,557,636,93.170.77.134,offersvoice.net,2352,20796,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-07,WORLDSTREAM- NL,49981,1360,None
Unnamed,LV,84,1049,185.129.148.214,185.129.148.214,6676,16037,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-21,IT_SERVICES- LV,15615,113,None
Unnamed,US,43,112,165.227.216.31,165.227.216.31,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-11-29,DIGITALOCEAN-ASN-NY2 - DigitalOcean- LLC- US,62567,552,None
Unnamed,US,674,83,157.131.153.156,157-131-153-156.fiber.dynamic.sonic.net,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.10 on Linux,0,0,2017-09-07,AS-SONICTELECOM - Sonic Telecom LLC- US,46375,3510,None
Unnamed,CA,77,552,159.203.22.51,159.203.22.51,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2016-02-17,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,183,None
Unnamed,FR,55,3006,163.172.128.13,13-128-172-163.rev.cloud.scaleway.com,4430,8000,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2017-07-31,AS12876- FR,12876,205,None
Unnamed,SE,69,483,91.236.116.253,91.236.116.253,443,80,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-11-14,ICME- SE,42237,231,None
